Experiment,Environment,Condition,WhichSubj,PeakCorr_1,PeakCorr_2,PeakCorr_3,PeakLCI_1,PeakLCI_2,PeakLCI_3,PeakUCI_1,PeakUCI_2,PeakUCI_3,LagAtPeak_1,LagAtPeak_2,LagAtPeak_3,LagLCI_1,LagLCI_2,LagLCI_3,LagUCI_1,LagUCI_2,LagUCI_3,WidthHalfPeak_1,WidthHalfPeak_2,WidthHalfPeak_3,WidthLCI_1,WidthLCI_2,WidthLCI_3,WidthUCI_1,WidthUCI_2,WidthUCI_3,isP,vdist,isRefs
VDIST,Sparse,NoP&Far,subj5,0.322630820983998,0.262248659506333,0.127670909537634,0.257670973317007,0.225378073969378,0.0958907822087293,0.38759066865099,0.299119245043287,0.159451036866538,244.444444444444,255.555555555556,688.888888888889,235.472695600513,221.670006099889,356.04851786797,253.416193288376,289.441105011222,1021.72925990981,150.634440971658,209.284111995736,560.475719089103,128.359717821385,174.358127535823,149.427554763032,172.909164121931,244.210096455648,971.523883415174,NoP,Far,NoRefs
VDIST,Sparse,P&Close,subj6,0.345698938263057,0.332855268059733,0.186171326088818,0.314862636959011,0.292556305233583,0.156358999654874,0.376535239567104,0.373154230885883,0.215983652522761,300,266.666666666667,477.777777777778,286.705718049983,256.35381995037,349.972231900656,313.294281950017,276.979513382964,605.583323654899,153.409645545262,166.960557911862,614.603517519112,144.439098219489,147.262008680529,327.947423788493,162.380192871034,186.659107143196,901.25961124973,P,Near,NoRefs
VDIST,Sparse,P&Far,subj6,0.265202559913456,0.257991593339141,0.0985480944353685,0.219846518419946,0.240025256934356,0.0694418780563282,0.310558601406965,0.275957929743925,0.127654310814409,311.111111111111,288.888888888889,777.777777777778,295.850204463733,258.860634827791,578.20322104864,326.372017758489,318.917142949987,977.352334506916,176.577076647478,197.254736854344,751.350525265154,157.584370670909,147.851921823091,366.7437,195.569782624048,246.657551885597,1135.95731928398,P,Far,NoRefs
VDIST,Sparse,NoP&Close,subj6,0.36268716352307,0.290072807549135,0.180019895753721,0.331965866194454,0.262041084226504,0.160412976605387,0.393408460851687,0.318104530871767,0.199626814902054,288.888888888889,277.777777777778,522.222222222222,280.70977437279,257.487185226165,436.125803262501,297.068003404988,298.06837032939,608.318641181943,138.374349164015,181.160788128366,515.841782695607,130.678215753209,141.239363821577,320.177945983646,146.070482574822,221.082212435156,711.505619407569,NoP,Near,NoRefs
VDIST,Sparse,NoP&Far,subj6,0.200910821630799,0.212920118438995,0.0983667479843256,0.16694926139428,0.190760290296816,0.0723280889584195,0.234872381867318,0.235079946581174,0.124405407010232,300,300,666.666666666667,291.484235011207,285.746051994262,359.927626190424,308.515764988793,314.253948005738,973.405707142909,159.108866973731,213.635675234941,349.87092656837,137.60514255496,176.313324232889,88.4793,180.612591392501,250.958026236993,611.262562868754,NoP,Far,NoRefs
VDIST,Rich,P&AllRefs&Close,subj1,0.392856861766047,0.339717198816769,0.340357644446418,0.358471414325576,0.305311282486281,0.300524614536679,0.427242309206519,0.374123115147257,0.380190674356157,244.444444444444,300,277.777777777778,233.999481595445,269.288315008272,267.209694949207,254.889407293444,330.711684991728,288.345860606348,145.052719569615,224.539287131656,173.659282930793,129.283795521653,200.193700140655,144.432466615041,160.821643617576,248.884874122656,202.886099246545,P,Near,AllRefs
VDIST,Rich,P&AllRefs&Far,subj1,0.276637054379455,0.202478990481158,0.17452364882453,0.249310223368285,0.184035742299169,0.151418294420405,0.303963885390625,0.220922238663148,0.197629003228655,266.666666666667,244.444444444444,411.111111111111,255.249005885748,142.224171480143,377.933946431905,278.084327447585,346.664717408746,444.288275790317,138.179780026048,112.491670204163,323.937794335209,124.575554318521,54.535229808739,260.48300274241,151.784005733574,170.448110599586,387.392585928007,P,Far,AllRefs
VDIST,Rich,P&JWalls&Close,subj1,0.385751202426555,0.308832884886931,0.307053651931594,0.358573485557964,0.272043590186149,0.263719151789471,0.412928919295146,0.345622179587714,0.350388152073717,244.444444444444,300,266.666666666667,233.047800285738,264.074913372231,248.655516082614,255.841088603151,335.925086627769,284.67781725072,148.11533382819,227.506453299786,211.712402593288,135.894476124192,194.895701129029,158.959162300351,160.336191532188,260.117205470544,264.465642886225,P,Near,JustWalls
VDIST,Rich,P&JWalls&Far,subj1,0.240178942341961,0.183391494500173,0.184338015641776,0.213140955360586,0.140042677685356,0.151532687808516,0.267216929323335,0.226740311314989,0.217143343475036,277.777777777778,255.555555555556,377.777777777778,258.971512714699,156.179659280192,344.727936023432,296.584042840857,354.931451830919,410.827619532124,152.68992984907,266.23015045261,250.518332521254,136.382995237478,199.478540804852,150.336362433197,168.996864460663,332.981760100367,350.700302609311,P,Far,JustWalls
VDIST,Rich,NoP&AllRefs&Close,subj1,0.39647855475463,0.30010363466536,0.300474943521089,0.349432508158278,0.249714291616653,0.250284845391252,0.443524601350981,0.350492977714067,0.350665041650927,266.666666666667,311.111111111111,288.888888888889,258.414010888599,291.562014168914,270.390898445223,274.919322444734,330.660208053308,307.386879332555,148.861637905457,222.398781938556,221.13147322367,139.799402727204,195.823078856609,134.032154418199,157.923873083709,248.974485020503,308.230792029141,NoP,Near,AllRefs
VDIST,Rich,NoP&AllRefs&Far,subj1,0.263468855271278,0.204680752358423,0.188778726859854,0.232379026514723,0.177513970006649,0.15006761970758,0.294558684027833,0.231847534710197,0.227489834012128,277.777777777778,255.555555555556,388.888888888889,264.916444163859,195.586158703237,332.547673037777,290.639111391697,315.524952407874,445.230104740001,153.883997259391,231.94770023997,414.987919933821,138.258167663275,179.123146456746,194.656181347091,169.509826855507,284.772254023195,635.319658520551,NoP,Far,AllRefs
VDIST,Rich,NoP&JWalls&Close,subj1,0.36877186914615,0.279248579449067,0.302585661585576,0.326614127920342,0.24809362348634,0.262294397349066,0.410929610371958,0.310403535411793,0.342876925822086,255.555555555556,311.111111111111,288.888888888889,246.523395800389,287.100685880997,265.765988930475,264.587715310722,335.121536341226,312.011788847302,139.740966185279,276.164325118315,221.255879351886,115.861773822167,245.650457386507,183.474246897913,163.620158548392,306.678192850123,259.037511805859,NoP,Near,JustWalls
VDIST,Rich,NoP&JWalls&Far,subj1,0.242672039104728,0.212948484506127,0.14514902271607,0.200058346901591,0.18223468909278,0.121228766413293,0.285285731307865,0.243662279919475,0.169069279018846,277.777777777778,300,455.555555555556,264.055931791426,273.045520031955,363.439133098613,291.49962376413,326.954479968045,547.671978012498,151.550323785482,227.459922851449,566.209007174102,123.333430894439,198.186531170604,408.419631253128,179.767216676526,256.733314532295,723.998383095077,NoP,Far,JustWalls
VDIST,Rich,P&AllRefs&Close,subj2,0.333586446668472,0.272819064433727,0.231880103807674,0.291936324032915,0.23054620084418,0.189207864053808,0.375236569304028,0.315091928023273,0.27455234356154,255.555555555556,255.555555555556,266.666666666667,249.524815106508,235.382276808549,239.91858504053,261.586296004604,275.728834302562,293.414748292803,126.202983654731,219.262320701779,314.49853012646,115.623243114801,201.348389018605,201.26805976999,136.782724194662,237.176252384954,427.72900048293,P,Near,AllRefs
VDIST,Rich,P&AllRefs&Far,subj2,0.249468268072916,0.220397225263449,0.142927125553659,0.21433591891335,0.177635803927229,0.107678567684139,0.284600617232482,0.26315864659967,0.178175683423179,255.555555555556,255.555555555556,566.666666666667,246.255246295071,224.913262766727,402.461170273947,264.85586481604,286.197848344384,730.872163059387,127.283666165557,189.668696236539,533.519215935949,113.855277058307,163.893925401091,367.473533936427,140.712055272806,215.443467071986,699.564897935471,P,Far,AllRefs
VDIST,Rich,P&JWalls&Close,subj2,0.381495343196234,0.270849226344076,0.192859455398109,0.335920634465481,0.235290609449287,0.143127780595926,0.427070051926987,0.306407843238865,0.242591130200291,255.555555555556,288.888888888889,322.222222222222,246.177755592963,236.340689044755,269.399069414581,264.933355518148,341.437088733022,375.045375029863,123.607125374789,215.537130807119,273.984524703758,112.887656178228,172.512284947547,151.731240970987,134.326594571351,258.561976666692,396.237808436529,P,Near,JustWalls
VDIST,Rich,P&JWalls&Far,subj2,0.265036298110017,0.20777953860812,0.135166652406028,0.223459591258746,0.175757358935881,0.106656527167249,0.306613004961287,0.239801718280358,0.163676777644807,255.555555555556,255.555555555556,733.333333333333,248.066676322897,218.690625938394,575.478359312851,263.044434788214,292.420485172717,891.188307353816,149.642285925745,206.52722382526,630.498986924555,125.251862324224,171.101015727263,428.287491352217,174.032709527265,241.953431923257,832.710482496892,P,Far,JustWalls
VDIST,Rich,NoP&AllRefs&Close,subj2,0.352556936722364,0.287281964576655,0.259813924252683,0.312252371204232,0.241751497966935,0.228029023030125,0.392861502240495,0.332812431186375,0.291598825475241,255.555555555556,266.666666666667,322.222222222222,247.369246010445,243.715415403617,298.381633410152,263.741865100666,289.617917929717,346.062811034293,127.320813670847,196.297524393605,312.99662260611,117.251125577809,163.610160720004,238.78195148404,137.390501763885,228.984888067206,387.211293728181,NoP,Near,AllRefs
